Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name,Year
2016-01-19,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,Seed Funding Round,3.56,,2016
2016-01-19,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,28.0,,2016
2016-01-20,E-commerce,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,14.4,,2016
2016-01-20,E-commerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,160.0,,2016
2016-01-20,E-commerce,Adult Products Etailers,New Delhi / US,Undisclosed US Based Investors,Private Equity,32.0,,2016
2016-01-20,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Sa\\xc3\\xafd Business School Seed Fund,Seed Funding Round,0.32,,2016
2016-01-21,Technology,Smartphone OS Developer,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,24.0,,2016
2016-01-22,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed Funding Round,1.6,,2016
2016-01-22,Technology,Home Automation & Security Solutions,Bangalore,The Chennai Angels,Seed Funding Round,4.12,,2016
2016-01-22,Technology,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,280.0,,2016
2016-01-25,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed Funding Round,1.2,,2016
2016-01-27,E-commerce,Construction Material ETailer,Gurgaon,Puneet Dalmia,Private Equity,32.0,,2016
2016-01-27,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,Undisclosed investors,Seed Funding Round,8.0,,2016
2016-01-28,Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed Funding Round,8.0,,2016
2016-01-28,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding Round,2.96,,2016
2016-01-29,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,8.8,,2016
2015-12-01,Transportation & Logistics Platform,Undefined,Mumbai,Frontline Strategy,Private Equity,44.8,,2015
2015-12-01,Digital Healthcare,Undefined,New Delhi,Pankaj Gupta,Seed Funding Round,16.0,,2015
2015-12-02,Last Minute Hotel Booking App,Undefined,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding Round,12.0,,2015
2015-12-03,Online Food ordering & Delivery platform,Undefined,New Delhi,Undisclosed investors,Seed Funding Round,0.8,,2015
2015-12-04,Car Maintenance & Management mobile app,Undefined,Gurgaon,GHV Accelerator,Seed Funding Round,0.8,,2015
2015-12-04,Online Wedding Marketplace,Undefined,New Delhi,CerraCap,Private Equity,160.0,,2015
2015-12-07,Custom Made furniture e-tailer,Undefined,Hyderabad,Agnus Capital,Private Equity,36.0,,2015
2015-12-07,Smart Safety Wearable Devices,Undefined,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding Round,2.0,,2015
2015-12-07,Cab Sharing service Mobile app,Undefined,Mumbai,Gopal Aggarwal,Seed Funding Round,0.8,,2015
2015-12-08,Home Cooked Food Order & Delivery platform,Undefined,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,16.0,,2015
2015-12-09,Online School for Analytics learning,Undefined,Bangalore,Manipal Global Education Services,Private Equity,24.0,,2015
2015-12-10,Online Branded Furniture etailer,Undefined,Bangalore,Bren Corporation,Private Equity,40.0,,2015
2015-12-10,Digital Analytics Platform,Undefined,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding Round,4.0,,2015
2015-12-10,Internet Network Infrastructure Services,Undefined,New Delhi,GrowX Ventures,Seed Funding Round,4.0,,2015
2015-12-10,Supply Chain & Logistics Solutions,Undefined,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,80.0,,2015
2015-12-10,Mobile Point of Sale solutions,Undefined,Hyderabad,Mitesh Majithia,Private Equity,20.0,,2015
2015-12-10,Peer-to-Peer Money Transfer & Recharge App,Undefined,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,560.0,,2015
2015-12-11,Test Automation SAAS platform,Undefined,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding Round,4.8,,2015
2015-12-11,Online RTI application services,Undefined,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding Round,1.2,,2015
2015-12-14,Modular Furnishings Marketplace,Undefined,Bangalore,"Accel Partners India, RB Investments",Private Equity,28.0,,2015
2015-12-14,Cab search Comparison & Booking platform,Undefined,New Delhi,Prashanth Ranganathan,Seed Funding Round,1.6,,2015
2015-12-14,Performance Optimization Platform for athletes,Undefined,Boston,Infosys,Private Equity,24.0,,2015
2015-12-15,visual search and discovery platform,Undefined,Bangalore / Palo Alto,Undisclosed,Seed Funding Round,8.0,,2015
2015-12-16,Home services marketplace,Undefined,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,180.0,,2015
2015-12-16,End to End reverse logistics Solution platform,Undefined,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding Round,16.0,,2015
2015-12-16,Virtual Health consultation app,Undefined,Mumbai,Unilazer,Private Equity,9.6,,2015
2015-12-18,Electric Bike Manufacturers,Undefined,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding Round,9.6,,2015
2015-12-18,International Hiring Platform,Undefined,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding Round,1.6,,2015
2015-12-21,Logistics Service Provider Marketplace,Undefined,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,16.0,,2015
2015-12-21,Hyperlocal Grocery Delivery Service,Undefined,Gurgaon,Innoven Capital,Private Equity,32.0,,2015
2015-12-22,Artificial Intelligence platform,Undefined,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,6.0,,2015
2015-12-23,B2B E-Commerce Marketplace,Undefined,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,40.0,,2015
2015-12-24,B2B Merchandize platform,Undefined,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding Round,2.42,,2015
2015-12-28,Grocery Delivery platform,Undefined,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding Round,8.0,,2015
2015-12-28,Mobile Car Servicing appointment app,Undefined,Bangalore,SAIF Partners,Seed Funding Round,4.0,,2015
2015-12-29,New Curation Mobile App,Undefined,Bangalore,Mahavir Pratap Sharma,Seed Funding Round,1.2,,2015
2015-11-02,Bus Aggregation and rental mobile app,Undefined,Mumbai,IDG Ventures,Seed Funding Round,6.0,,2015
2015-11-03,Alternate Mobile Monetization platform,Undefined,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,40.0,,2015
2015-11-03,Online Food Ordering Marketplace,Undefined,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding Round,1.2,,2015
2015-11-03,Quick Service Restaurant & Online Delivery,Undefined,Mumbai,Riqueza Capital,Seed Funding Round,3.08,,2015
2015-11-03,Online Loans Marketplace,Undefined,Mumbai,Undefined,Seed Funding Round,2.56,,2015
2015-11-03,Budget Hotels Aggregator,Undefined,New Delhi,Dheeraj Jain & Others,Seed Funding Round,4.0,,2015
2015-11-03,Efficient Energy Management platform,Undefined,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,132.8,,2015
2015-11-05,Domestic Help Aggregation platform,Undefined,Mumbai,Vineel Nalla & Others,Seed Funding Round,1.2,,2015
2015-11-05,Home Stay & room rentals platform,Undefined,Goa,Undisclosed investors,Seed Funding Round,1.6,,2015
2015-11-06,Online content platform for women,Undefined,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,16.0,,2015
2015-11-06,Online Vehicle Spare Parts etailer,Undefined,Pune,"Hyderabad Angels, M&S Partners",Seed Funding Round,3.68,,2015
2015-11-06,Event Ticketing platform,Undefined,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,3.92,,2015
2015-11-06,Premium dining Lounges & restaurants,Undefined,Gurgaon,Chandralekha Construction Pvt. Ltd,Private Equity,120.0,,2015
2015-11-09,Mobile Growth Hacking Platform,Undefined,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding Round,4.0,,2015
2015-11-09,Skill Training Startup,Undefined,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,12.0,,2015
2015-11-09,Beauty and Wellness Marketplace,Undefined,Mumbai,Info Edge,Private Equity,8.0,,2015
2015-11-09,On-demand Maids Service Provider,Undefined,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding Round,1.2,,2015
2015-11-09,E-Commerce Product Search Engine,Undefined,Mumbai,undisclosed investor,Seed Funding Round,1.2,,2015
2015-11-10,Ready to cook packaged Foods,Undefined,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,48.0,,2015
2015-11-11,Branded Food products online sales,Undefined,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,4.8,,2015
2015-11-12,Cricket Management Mobile Game,Undefined,Hyderabad,Chennai Angels,Seed Funding Round,2.0,,2015
2015-11-16,Ecommerce Discount & Cashback coupons platform,Undefined,Gurgaon,Kalaari Capital,Private Equity,29.6,,2015
2015-11-16,Virtual Reality Headset creator,Undefined,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding Round,1.44,,2015
2015-11-16,mobile-only tasks marketplace,Undefined,New Delhi,Times Internet,Private Equity,120.0,,2015
2015-11-17,Designer fashion Jewellery Marketplace,Undefined,Bangalore,Jitu Virwani,Seed Funding Round,60.0,,2015
2015-11-17,Kids Tool kit for Innovation platform,Undefined,Bangalore,Ravi Krishnamurthy,Seed Funding Round,4.24,,2015
2015-11-18,Viral Content web Platform,Undefined,New Delhi,Kalaari Capital,Private Equity,32.0,,2015
2015-11-19,Smartwatch Maker,Undefined,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding Round,4.0,,2015
2015-11-19,Online Jewellery etailer,Undefined,New Delhi,Indian Angel Network,Seed Funding Round,3.64,,2015
2015-11-20,Nightlife Discovery Mobile App,Undefined,Mumbai,Undisclosed investors,Seed Funding Round,1.2,,2015
2015-11-20,Online Real Estate Marketplace,Undefined,Bangalore,Hampton Capital,Private Equity,24.0,,2015
2015-11-21,Indian Ethnic Crafts Etailer,Undefined,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,9.6,,2015
2015-11-21,Social platform for traders and investors,Undefined,Bangalore,Undisclosed investors,Seed Funding Round,0.8,,2015
2015-11-23,Healthcare Services Discovery platform,Undefined,Bangalore,Anil Menon,Seed Funding Round,0.8,,2015
2015-11-24,Online and TV Shopping Marketplace,Undefined,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,416.0,,2015
2015-11-25,Mobile App based Loan disbursement platform,Undefined,Mumbai,Ashok Agarwal,Seed Funding Round,12.0,,2015
2015-11-25,On Demand Laundry Services App,Undefined,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding Round,0.88,,2015
2015-11-25,Education Content Provider,Undefined,New Delhi,IFC Everstone Group,Private Equity,216.0,,2015
2015-11-26,Hyperlocal healthcare product Delivery Service provider,Undefined,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA)",Private Equity,8.0,,2015
2015-11-30,Two-Wheeler Taxi Service,Undefined,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia",Seed Funding Round,11.6,,2015
2015-11-30,Character merchandize sales platform,Undefined,Mumbai,DSG Consumer Partners,Seed Funding Round,4.32,,2015
2015-11-30,Ecommerce Delivery locker services,Undefined,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,72.0,,2015
2015-10-01,Movie-on-demand platform,Undefined,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding Round,2.8,,2015
2015-10-02,Product discovery & recommendation platform,Undefined,Bangalore,Kalaari Capital,Private Equity,16.0,,2015
2015-10-05,Fashion jewelry and accessories e-tailer,Undefined,Jaipur,Peepul Capital,Private Equity,120.0,,2015
2015-10-05,Online Consumer Lending platform,Undefined,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,8.0,,2015
2015-10-05,Premium Apparel shopping portal,Undefined,New Delhi,High Networth Individuals (undisclosed),Seed Funding Round,1.2,,2015
2015-10-06,Exclusive Platform for Doctors & Healthcare professionals,Undefined,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding Round,5.6,,2015
2015-10-06,Sports Management & Physical Education Business,Undefined,Bangalore,Gaja Capital Private Equity Fund,Private Equity,80.0,,2015
2015-10-06,Online Homeopathy Clinic,Undefined,Mumbai,Unnamed Media house and HNIs,Private Equity,48.0,,2015
2015-10-07,E-Learning Service Provider,Undefined,Mumbai,High Networth Individuals from India & USA,Private Equity,24.0,,2015
2015-10-07,Delivery & Logistics Service provider,Undefined,Gurgaon,Snapdeal,Private Equity,160.0,,2015
2015-10-08,Home Cooked Food marketplace & Delivery,Undefined,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,16.0,,2015
2015-10-08,Gesture based Mobile Development,Undefined,New Delhi,"Tiger Global Management, Flipkart",Private Equity,61.6,,2015
2015-10-08,Rental Accommodation Search platform,Undefined,Bangalore,Sequoia and Kalaari Capital,Private Equity,80.0,,2015
2015-10-08,Logistics Tech Platform,Undefined,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding Round,2.48,,2015
2015-10-09,End-to-End Lending platform,Undefined,Bangalore / San Mateo,SF Capital Group,Private Equity,64.0,,2015
2015-10-09,on-demand healthcare marketplace,Undefined,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding Round,2.4,,2015
2015-10-09,Advertising & Marketing Community Networking platform,Undefined,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding Round,8.0,,2015
2015-10-09,Food Ordering & Delivery App,Undefined,New Delhi,Suyash Sharma,Seed Funding Round,0.62,,2015
2015-10-12,Ride Sharing Platform,Undefined,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding Round,1.52,,2015
2015-10-12,Cloud Based Collaboration platform,Undefined,Ahmedabad,LetsVenture,Seed Funding Round,0.8,,2015
2015-10-13,Mobile Only Shopping Assistant,Undefined,New Delhi,SAIF Partners,Seed Funding Round,8.0,,2015
2015-10-13,Mobile Messaging Assistant App,Undefined,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,20.0,,2015
2015-10-14,Personalized Wish List creator app,Undefined,Noida,Turning Ideas,Seed Funding Round,0.4,,2015
2015-10-17,Structural & Civil Engg Service Automation,Undefined,Mumbai,Parampara Capital,Private Equity,8.0,,2015
2015-10-19,Payments Solution platform,Undefined,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,200.0,,2015
2015-10-19,Travel Destination Discovery platform,Undefined,New Delhi,Aarti Group,Seed Funding Round,0.8,,2015
2015-10-20,Last Mile Delivery Service,Undefined,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,56.0,,2015
2015-10-20,Healthcare IT Solutions & services,Undefined,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,80.0,,2015
2015-10-21,Real Estate Mobile CRM,Undefined,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding Round,23.6,,2015
2015-10-21,Micro-Brewery,Undefined,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,12.24,,2015
2015-10-21,Home Made Food Marketplace,Undefined,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding Round,0.8,,2015
2015-10-21,residential rental management platform,Undefined,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding Round,5.12,,2015
2015-10-23,Personal Diagnostic Mobile App,Undefined,Mumbai,Group of Angel investors,Seed Funding Round,1.2,,2015
2015-10-23,Online food ordering & Delivery service,Undefined,Gurgaon,Group of Angel investors,Seed Funding Round,1.2,,2015
2015-10-23,Online food ordering & Delivery service,Undefined,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,8.0,,2015
2015-10-23,Hotel Aggregator & booking platform,Undefined,New Delhi,ID Enablers Pvt Ltd,Seed Funding Round,2.0,,2015
2015-10-26,Online Logistics Platform,Undefined,Bangalore,Delhivery,Private Equity,40.0,,2015
2015-10-26,Online Student & Campus Social Networking platform,Undefined,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding Round,3.2,,2015
2015-10-26,Professionals & Project Search Marketplace,Undefined,New Delhi,undisclosed private investors,Seed Funding Round,4.0,,2015
2015-10-26,Online Pharmacy,Undefined,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,400.0,,2015
2015-10-27,Location based Nightlife recommendation Platform,Undefined,Mumbai,Unnamed investor,Seed Funding Round,0.62,,2015
2015-10-27,Hyperlocal Logistics Service,Undefined,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,80.0,,2015
2015-10-28,Asset Financing platform,Undefined,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding Round,8.8,,2015
2015-10-28,Virtual Reality activity based learning platform,Undefined,New Delhi,S Chand and Co Pvt Ltd,Seed Funding Round,1.6,,2015
2015-10-29,Public Commute helper App,Undefined,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding Round,3.6,,2015
2015-10-30,Ride Sharing Platform,Undefined,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding Round,1.04,,2015
2015-10-30,Food Discovery & Delivery Mobile app,Undefined,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,60.0,,2015
2015-10-30,Competitive exam learning platform,Undefined,Mumbai,InnoVen Capital,Private Equity,16.0,,2015
2015-10-30,Document Digitization platform,Undefined,Gurgaon,GREX,Seed Funding Round,1.84,,2015
2015-09-01,FinTech Startup Incubation platform,Undefined,Mumbai,Tania Johny Palathinkal,Seed Funding Round,0.8,,2015
2015-09-01,Personalized Styling platform,Undefined,Mumbai,Group of HNI investors,Private Equity,8.0,,2015
2015-09-01,Luxury goods Shopping Platform,Undefined,Gurgaon,Reliance Capital,Private Equity,7.2,,2015
2015-09-02,Online Lingerie Marketplace,Undefined,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,320.0,,2015
2015-09-02,Cloud software solutions,Undefined,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,360.0,,2015
2015-09-03,Job Search Platform,Undefined,Bangalore,Purvi Capital,Seed Funding Round,2.08,,2015
2015-09-03,Small Business Financing (NBFC),Undefined,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,320.0,,2015
2015-09-04,Online Movie Review Platform,Undefined,Mumbai,R M Picture Company Pvt. Ltd,Seed Funding Round,1.2,,2015
2015-09-04,E-commerce,Undefined,Mumbai,Ashish Jhalani,Seed Funding Round,0.8,,2015
2015-09-04,Cloud-based Hotel Booking Platform,Undefined,Bangalore,Karanpal Singh,Seed Funding Round,16.0,,2015
2015-09-07,Community Driven News/Views Platform,Undefined,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding Round,4.8,,2015
2015-09-07,Dairy Based Product Manufacturer,Undefined,Bhopal,Acumen Fund,Private Equity,14.4,,2015
2015-09-08,Government Test Preparation platform,Undefined,Bangalore,Blume Ventures,Seed Funding Round,3.2,,2015
2015-09-10,Multilingual Test Preparation Platform,Undefined,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,6.16,,2015
2015-09-10,Non Profit Organization to alleviate poverty,Undefined,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding Round,2.52,,2015
2015-09-12,Used Vehicles Marketplace,Undefined,Mumbai,Eight Road Ventures,Private Equity,120.0,,2015
2015-09-14,Mobile App testing platform,Undefined,Hyderabad,Bessemer Venture Partners,Seed Funding Round,9.6,,2015
2015-09-14,Hyperlocal Delivery Services,Undefined,Gurgaon,Eight Roads Ventures,Private Equity,72.0,,2015
2015-09-14,Early Cancer Detection Solutions,Undefined,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,24.0,,2015
2015-09-15,Chain of Tea Cafe,Undefined,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding Round,8.0,,2015
2015-09-16,Food Subscription platform,Undefined,Bangalore,Eight Roads Ventures,Private Equity,80.0,,2015
2015-09-16,Wedding Planning Platform,Undefined,Gurgaon,Indian Angel Network,Seed Funding Round,3.28,,2015
2015-09-16,B2B Mobile Auction Marketplace,Undefined,Mumbai,Oliphans Capital,Seed Funding Round,3.6,,2015
2015-09-17,Online Food ordering & delivery,Undefined,Gurgaon,High Networth Individuals (No details),Seed Funding Round,4.8,,2015
2015-09-18,Real Estate Broker Platform App,Undefined,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding Round,2.8,,2015
2015-09-18,Internet of Things platform,Undefined,New Delhi,Undisclosed,Seed Funding Round,1.2,,2015
2015-09-18,Diagnostic Labs aggregator platform,Undefined,Gurgaon,Multiple investors,Seed Funding Round,1.2,,2015
2015-09-21,Home Medical Care Services,Undefined,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,300.0,,2015
2015-09-21,Real-Time stock data platform,Undefined,Bangalore,Rainmatter,Seed Funding Round,1.88,,2015
2015-09-22,Financial Services Portal,Undefined,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,24.0,,2015
2015-09-22,"virtual reality, 3d simulation and stereoscopic products",Undefined,Bangalore,Swarnim Multiventures,Private Equity,6.4,,2015
2015-09-22,Online Interior Designing platform,Undefined,Bangalore,Bhavdeep Reddy,Seed Funding Round,3.2,,2015
2015-09-22,End-to-end Logistics platform,Undefined,Mumbai,Paytm,Private Equity,80.0,,2015
2015-09-22,Private Label Apparel sales,Undefined,New Delhi,Asha Jadeja Motwani & Others,Seed Funding Round,2.4,,2015
2015-09-23,Cross-device retargeting platform,Undefined,Gurgaon / SFO,M&S Partners,Private Equity,9.6,,2015
2015-09-23,Digital & Physical Publishing platform,Undefined,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,18.0,,2015
2015-09-24,Data Driven Publishing platform,Undefined,Bangalore,Raghav Bahl,Private Equity,26.4,,2015
2015-09-24,Employee OnBoarding & Orientation platform,Undefined,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding Round,3.2,,2015
2015-09-24,Solar Power Solutions company,Undefined,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,16.0,,2015
2015-09-29,Mobile Advertising platform,Undefined,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,800.0,,2015
2015-09-29,Fashion Discovery platform,Undefined,New Delhi,Uniqorn Ventures,Seed Funding Round,2.8,,2015
2015-09-30,Big Data Management Platform,Undefined,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,40.0,,2015
2015-09-30,Digital Signal processing platform,Undefined,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding Round,8.0,,2015
2015-08-01,Restaurant Discount app,Undefined,Pune,Mohandas Pai & others,Seed Funding Round,3.2,,2015
2015-08-03,User Engagment & Analytics platform,Undefined,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,76.8,,2015
2015-08-04,On-Demand Delivery Logistics,Undefined,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,10.4,,2015
2015-08-05,Fund raising platform for startups,Undefined,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding Round,5.2,,2015
2015-08-05,Online budget hotel chain,Undefined,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,240.0,,2015
2015-08-05,Hyperlocal Handyman services,Undefined,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,24.0,,2015
2015-08-05,Tech Platform for property brokers,Undefined,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding Round,6.28,,2015
2015-08-06,App security testing platform,Undefined,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding Round,4.0,,2015
2015-08-06,Crowd funding platform,Undefined,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding Round,5.6,,2015
2015-08-07,Fast food Chain Franchisee,Undefined,Gurgaon,YouWeCan Ventures,Seed Funding Round,5.04,,2015
2015-08-07,Loyalty Programs & Reward Points,Undefined,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,4.0,,2015
2015-08-10,E-commerce,Undefined,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding Round,0.64,,2015
2015-08-10,mobile social network,Undefined,New Delhi,QPrize from Qualcomm Ventures,Seed Funding Round,2.0,,2015
2015-08-10,Hyper-Local Ecommerce,Undefined,New Delhi,Sequoia Capital,Private Equity,128.0,,2015
2015-08-10,Online printing marketplace,Undefined,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding Round,2.0,,2015
2015-08-10,Automated Storage & Warehousing Solution,Undefined,Gurgaon,Tiger Global Management,Private Equity,240.0,,2015
2015-08-11,Quick Service Restaurant Chain,Undefined,Kolkata,Indian Angel Network,Seed Funding Round,12.8,,2015
2015-08-11,engineering services company,Undefined,Mumbai,Zodius Technology Fund,Private Equity,160.0,,2015
2015-08-11,Business and IT consulting,Undefined,New Delhi / US,ChrysCapital,Private Equity,504.0,,2015
2015-08-13,Ecommerce Marketing Software Platform,Undefined,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors",Seed Funding Round,4.0,,2015
2015-08-13,Financial Inclusion platform,Undefined,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,200.0,,2015
2015-08-17,Exam Preparation Platform,Undefined,New Delhi,Nalin Jain & other angel investors,Seed Funding Round,1.76,,2015
2015-08-17,Waste Management Service,Undefined,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding Round,1.28,,2015
2015-08-18,Data Analytics Platform,Undefined,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,33.6,,2015
2015-08-18,Deep Learning Cloud Algorithms,Undefined,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding Round,8.0,,2015
2015-08-18,Corporate Wellness App,Undefined,Bangalore,RoundGlass Partners,Private Equity,8.0,,2015
2015-08-19,Online Furniture Marketplace,Undefined,Bangalore,AskMe,Private Equity,160.0,,2015
